Name,Age,Grade,Subject
Alice,20,A,Mathematics
Bob,22,B,Physics
Charlie,21,A,Chemistry
Diana,23,B,Biology
Eve,20,A,Computer Science
Frank,22,C,History
Grace,21,B,English
Henry,24,A,Art
Iris,20,A,Literature
Jack,23,B,Music
Kevin,21,A,Engineering
Laura,22,B,Psychology
Mike,23,A,Philosophy
Nancy,20,B,History
Oscar,21,A,Mathematics
Paul,22,C,Physics
Quinn,23,B,Chemistry
Rachel,21,A,Computer Science
Sam,22,B,Mathematics
Tina,23,A,Literature
Uma,20,B,Physics
Victor,21,A,Engineering
Wendy,22,C,History
Xander,23,B,Music
Yara,20,A,Chemistry
Zack,21,B,Physics
